"","id","partner","type_trial","promise","dec_partner","prom_keys","prom_keys_rt","decision","decision_rt","prom_percent","decision_gain","response"
"66","3","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",5.67053794861,NA,5,1
"67","3","Computer","Promise","Promise","No trust","Sometimes",2.37023591995,NA,NA,33.33,NA,NA
"68","3","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.68685913086,NA,5,1
"69","3","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.72049593925,NA,10,0
"70","3","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",2.27026796341,NA,5,1
"71","3","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"72","3","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",5.15386009216,NA,10,0
"73","4","Confederate","Promise","Promise","Trust","Mostly",5.86956501007,"Pay back",5.11940908432,66.66,5,1
"74","4","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",4.18618106842,NA,10,0
"75","4","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",2.1194999218,NA,5,1
"76","4","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",3.68384599686,NA,10,0
"77","4","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",1.90069007874,NA,5,1
"78","4","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.56944513321,NA,5,1
"79","4","Friend","Promise","Promise","Trust","Mostly",4.10264587402,"Pay back",1.91925001144,66.66,5,1
"80","4","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"81","4","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",1.80290198326,NA,5,1
"82","4","Friend","Promise","Promise","Trust","Sometimes",3.88408589363,"Pay back",2.16947984695,33.33,5,1
"83","4","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"84","4","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.70729207993,NA,5,1
"85","4","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"86","4","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.61964392662,NA,5,1
"87","4","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.85284399986,NA,10,0
"88","4","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",2.38409900665,NA,10,0
"89","4","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"90","4","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.18665599823,NA,5,1
"91","4","Computer","Promise","Promise","No trust","Always",3.01922106743,NA,NA,100,NA,NA
"92","4","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.33403897285,NA,5,1
"93","4","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",1.58618187904,NA,5,1
"94","4","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",3.61742401123,NA,5,1
"95","4","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"96","4","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",1.56999206543,NA,5,1
"97","5","Confederate","Promise","Promise","Trust","Always",4.03659932,"Pay back",3.902844214,100,5,1
"98","5","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.802287192,NA,10,0
"99","5","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",3.08579462,NA,5,1
"100","5","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",2.682974053,NA,10,0
"101","5","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.402042942,NA,10,0
"102","5","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",2.802303323,NA,5,1
"103","5","Friend","Promise","Promise","Trust","Mostly",5.55428579,"Pay back",1.901613434,66.66,5,1
"104","5","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"105","5","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",5.08747379,NA,10,0
"106","5","Friend","Promise","Promise","Trust","Mostly",2.368562553,"Pay back",4.27010706,66.66,5,1
"107","5","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"108","5","Confederate","Not apply","Promise","Trust",NA,NA,"Not to pay back",1.935008764,NA,10,0
"109","5","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"110","5","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.568103751,NA,5,1
"111","5","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",3.419244542,NA,10,0
"112","5","Confederate","No Promise","No promise","Trust",NA,NA,"Pay back",1.985099377,NA,5,1
"113","5","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"114","5","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",1.518018271,NA,5,1
"115","5","Computer","Promise","Promise","No trust","Always",3.486240517,NA,NA,100,NA,NA
"116","5","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.132085834,NA,5,1
"117","5","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.63540183,NA,10,0
"118","5","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",2.085342564,NA,5,1
"119","5","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"120","5","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",1.801506634,NA,5,1
"121","6","Confederate","Promise","Promise","Trust","Always",4.5688419342,"Pay back",5.52107095718,100,5,1
"122","6","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",4.34927892685,NA,5,1
"123","6","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",4.80365204811,NA,5,1
"124","6","Computer","No Promise","No promise","Trust",NA,NA,"Pay back",3.89315080643,NA,5,1
